date,new_cases,new_deaths
2020-04-02,5,1
2020-04-03,8,0
2020-04-04,7,1
2020-04-05,10,0
2020-04-06,2,0
2020-04-07,7,1
2020-04-08,4,1
2020-04-09,1,0
2020-04-10,0,0
2020-04-11,8,0
2020-04-12,12,0
2020-04-13,7,0
2020-04-14,16,0
2020-04-15,5,0
2020-04-16,0,0
2020-04-17,6,0
2020-04-18,10,0
2020-04-19,17,0
2020-04-20,33,0
2020-04-21,6,0
2020-04-22,20,0
2020-04-23,38,0
2020-04-24,52,0
2020-04-25,40,0
2020-04-26,63,0
2020-04-27,65,0
2020-04-28,31,0
2020-04-29,30,0
2020-04-30,14,0
2020-05-01,27,0
2020-05-02,15,0
2020-05-03,13,0
2020-05-04,33,1
2020-05-05,20,1
2020-05-06,26,0
2020-05-07,27,0
2020-05-08,11,0
2020-05-09,12,0
2020-05-10,16,0
2020-05-11,6,0
2020-05-12,20,0
2020-05-13,26,0
2020-05-14,10,0
2020-05-15,10,0
2020-05-16,25,0
2020-05-17,21,0
2020-05-18,11,0
2020-05-19,35,0
2020-05-20,1,0
2020-05-21,27,0
2020-05-22,13,0
2020-05-23,21,0
2020-05-24,52,0
2020-05-25,41,1
2020-05-26,137,0
2020-05-27,150,0
2020-05-28,61,0
2020-05-29,28,0
2020-05-30,62,0
2020-05-31,13,0
2020-06-01,10,1
2020-06-02,40,0
2020-06-03,66,0
2020-06-04,48,0
2020-06-05,4,0
2020-06-06,13,0
2020-06-07,21,0
2020-06-08,22,0
2020-06-09,2,0
2020-06-10,10,0
2020-06-11,8,0
2020-06-12,3,0
2020-06-13,4,0
2020-06-14,5,0
2020-06-15,16,0
2020-06-16,10,0
2020-06-17,9,0
2020-06-18,23,0
2020-06-19,3,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,1,0
2020-06-23,40,0
2020-06-24,10,0
2020-06-25,9,0
2020-06-26,4,0
2020-06-27,19,0
2020-06-28,4,0
2020-06-29,2,0
2020-06-30,8,0
2020-07-01,7,0
2020-07-02,12,0
2020-07-03,3,0
2020-07-04,5,0
2020-07-05,2,0
2020-07-06,1,0
2020-07-07,4,0
2020-07-08,13,0
2020-07-09,60,0
2020-07-10,300,0
2020-07-11,57,0
2020-07-12,106,0
2020-07-13,29,0
2020-07-14,19,0
2020-07-15,6,0
2020-07-16,16,0
2020-07-17,10,0
2020-07-18,6,0
2020-07-19,21,0
2020-07-20,6,0
2020-07-21,0,0
2020-07-22,22,0
2020-07-23,1,0
2020-07-24,11,0
2020-07-25,6,0
2020-07-26,12,0
2020-07-27,23,0
2020-07-28,5,0
2020-07-29,0,0
2020-07-30,4,0
2020-07-31,1,0
2020-08-01,0,0
2020-08-02,8,0
2020-08-03,5,0
2020-08-04,6,0
2020-08-05,5,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,2,0
2020-08-09,3,0
2020-08-10,27,0
2020-08-11,9,0
2020-08-12,1,0
2020-08-13,1,0
2020-08-14,4,0
2020-08-15,4,0
2020-08-16,3,0
2020-08-17,7,0
2020-08-18,2,0
2020-08-19,0,0
2020-08-20,16,0
2020-08-21,23,0
2020-08-22,6,1
2020-08-23,6,0
2020-08-24,6,0
2020-08-25,12,0
2020-08-26,13,0
2020-08-27,2,0
2020-08-28,3,0
2020-08-29,6,0
2020-08-30,17,0
2020-08-31,37,0
2020-09-01,43,0
2020-09-02,9,0
2020-09-03,10,0
2020-09-04,4,0
2020-09-05,6,0
2020-09-06,2,0
2020-09-07,0,0
2020-09-08,17,0
2020-09-09,7,0
2020-09-10,8,0
2020-09-11,14,0
2020-09-12,26,0
2020-09-13,39,0
2020-09-14,28,1
2020-09-15,9,0
2020-09-16,0,0
2020-09-17,5,0
2020-09-18,5,0
2020-09-19,2,0
2020-09-20,4,0
2020-09-21,12,0
2020-09-22,14,0
2020-09-23,11,0
2020-09-24,9,0
2020-09-25,12,0
2020-09-26,4,0
2020-09-27,11,0
2020-09-28,3,0
2020-09-29,11,0
2020-09-30,6,0
2020-10-01,2,0
2020-10-02,6,0
2020-10-03,7,0
2020-10-04,7,0
2020-10-05,111,0
2020-10-06,739,0
2020-10-07,207,0
2020-10-08,29,0
2020-10-09,35,0
2020-10-10,105,0
2020-10-11,124,0
2020-10-12,92,0
2020-10-13,194,0
2020-10-14,132,0
2020-10-15,74,0
2020-10-16,110,0
2020-10-17,121,0
2020-10-18,63,0
2020-10-19,87,0
2020-10-20,186,0
2020-10-21,167,0
2020-10-22,309,1
2020-10-23,866,0
2020-10-24,368,1
2020-10-25,351,1
2020-10-26,541,0
2020-10-27,457,3
2020-10-28,335,0
2020-10-29,586,0
2020-10-30,633,0
2020-10-31,239,1
2020-11-01,397,1
2020-11-02,275,0
2020-11-03,409,2
2020-11-04,443,1
2020-11-05,383,5
2020-11-06,400,1
2020-11-07,449,4
2020-11-08,510,1
2020-11-09,356,1
2020-11-10,430,5
2020-11-11,635,5
2020-11-12,373,2
2020-11-13,468,5
2020-11-14,392,0
2020-11-15,704,5
2020-11-16,387,3
2020-11-17,401,5
2020-11-18,327,3
2020-11-19,439,4
2020-11-20,439,1
2020-11-21,491,9
2020-11-22,400,4
2020-11-23,337,3
2020-11-24,459,4
2020-11-25,502,2
2020-11-26,559,3
2020-11-27,473,8
2020-11-28,487,2
2020-11-29,496,7
2020-11-30,503,2
2020-12-01,545,4
2020-12-02,878,2
2020-12-03,628,5
2020-12-04,521,1
2020-12-05,669,7
2020-12-06,649,3
2020-12-07,703,2
2020-12-08,798,0
2020-12-09,694,2
2020-12-10,541,2
2020-12-11,762,1
2020-12-12,760,2
2020-12-13,655,3
2020-12-14,688,2
2020-12-15,643,0
2020-12-16,616,6
2020-12-17,650,0
2020-12-18,662,5
2020-12-19,618,6
2020-12-20,594,5
2020-12-21,370,5
2020-12-22,428,2
2020-12-23,580,1
2020-12-24,592,1
2020-12-25,551,1
2020-12-26,598,1
2020-12-27,674,4
2020-12-28,549,3
2020-12-29,453,1
2020-12-30,646,4
2020-12-31,597,5
2021-01-01,557,4
2021-01-02,515,3
2021-01-03,403,0
2021-01-04,468,4
2021-01-05,484,2
2021-01-06,522,2
2021-01-07,532,3
2021-01-08,525,3
2021-01-09,535,4
2021-01-10,540,3
2021-01-11,569,8
2021-01-12,588,4
2021-01-13,692,3
2021-01-14,670,4
2021-01-15,695,4
2021-01-16,719,1
2021-01-17,749,8
2021-01-18,688,6
2021-01-19,669,3
2021-01-20,770,1
2021-01-21,887,2
2021-01-22,787,2
2021-01-23,724,2
2021-01-24,843,3
2021-01-25,737,4
2021-01-26,755,1
2021-01-27,772,2
2021-01-28,892,7
2021-01-29,859,8
2021-01-30,848,8
2021-01-31,864,3
2021-02-01,826,7
2021-02-02,715,7
2021-02-03,711,2
2021-02-04,706,7
2021-02-05,735,4
2021-02-06,726,8
2021-02-07,772,5
2021-02-08,887,9
2021-02-09,976,5
2021-02-10,963,5
2021-02-11,942,4
2021-02-12,940,5
2021-02-13,796,6
2021-02-14,802,7
2021-02-15,774,6
2021-02-16,756,6
2021-02-17,722,13
2021-02-18,514,8
2021-02-19,517,3
2021-02-20,543,2
2021-02-21,519,10
2021-02-22,518,5
2021-02-23,492,3
2021-02-24,458,4
2021-02-25,466,2
2021-02-26,497,5
2021-02-27,460,0
2021-02-28,204,0
2021-03-01,458,12
2021-03-02,318,7
2021-03-03,356,1
2021-03-04,384,5
2021-03-05,350,4
2021-03-06,190,0
2021-03-07,545,9
2021-03-08,344,5
2021-03-09,304,4
2021-03-10,342,0
2021-03-11,304,9
2021-03-12,297,5
2021-03-13,314,1
2021-03-14,307,1
2021-03-15,331,5
2021-03-16,154,0
2021-03-17,470,5
2021-03-18,162,0
2021-03-19,473,7
2021-03-20,158,0
2021-03-21,545,2
2021-03-22,314,5
2021-03-23,251,1
2021-03-24,253,0
2021-03-25,271,2
2021-03-26,272,3
2021-03-27,278,1
2021-03-28,249,3
2021-03-29,215,5
2021-03-30,139,0
2021-03-31,264,2
2021-04-01,211,3
2021-04-02,211,0
2021-04-03,167,4
2021-04-04,141,6
2021-04-05,159,0
2021-04-06,95,5
2021-04-07,220,2
2021-04-08,343,3
2021-04-09,311,2
2021-04-10,284,2
2021-04-11,283,3
2021-04-12,263,0
2021-04-13,226,4
2021-04-14,99,0
2021-04-15,230,6
2021-04-16,237,7
2021-04-17,168,0
2021-04-18,442,3
2021-04-19,309,2
2021-04-20,367,0
2021-04-21,578,10
2021-04-22,672,4
2021-04-23,796,0
2021-04-24,1068,4
2021-04-25,793,4
2021-04-26,997,5
2021-04-27,1111,0
2021-04-28,1466,14
2021-04-29,1531,0
2021-04-30,1662,17
2021-05-01,1716,9
2021-05-02,1891,9
2021-05-03,1923,13
2021-05-04,1914,0
2021-05-05,1939,25
2021-05-06,1895,11
2021-05-07,1914,19
2021-05-08,1896,22
2021-05-09,2672,15
2021-05-10,2624,26
2021-05-11,2568,23
2021-05-12,2429,0
2021-05-13,2269,42
2021-05-14,2289,31
2021-05-15,2386,18
2021-05-16,2275,21
2021-05-17,2456,19
2021-05-18,2518,34
2021-05-19,3623,36
2021-05-20,3443,0
2021-05-21,3547,82
2021-05-22,2909,45
2021-05-23,2959,32
2021-05-24,2971,33
2021-05-25,2728,26
2021-05-26,2377,29
2021-05-27,2584,0
2021-05-28,2850,65
2021-05-29,2882,0
2021-05-30,2859,78
2021-05-31,2912,0
2021-06-01,2877,43
2021-06-02,3306,82
2021-06-03,3297,42
2021-06-04,3410,48
2021-06-05,3103,0
2021-06-06,2976,40
2021-06-07,2646,93
2021-06-08,2682,55
2021-06-09,2735,66
2021-06-10,2738,0
2021-06-11,2232,101
2021-06-12,2911,62
2021-06-13,2361,63
2021-06-14,2284,124
2021-06-15,2334,55
2021-06-16,2436,59
2021-06-17,2372,51
2021-06-18,2349,55
2021-06-19,2248,54
2021-06-20,2028,47
2021-06-21,2131,52
2021-06-22,2093,71
2021-06-23,2196,65
2021-06-24,1941,45
2021-06-25,1876,48
2021-06-26,1825,43
2021-06-27,1867,39
2021-06-28,1890,41
2021-06-29,1717,45
2021-06-30,1864,47
2021-07-01,1883,43
2021-07-02,1823,37
2021-07-03,1262,34
2021-07-04,1573,45
2021-07-05,869,32
2021-07-06,934,45
2021-07-07,1243,38
2021-07-08,1270,40
2021-07-09,1537,43
2021-07-10,1548,33
2021-07-11,1507,35
2021-07-12,1568,31
2021-07-13,1413,41
2021-07-14,1540,37
2021-07-15,1484,50
2021-07-16,1517,41
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
